,city,price,beds,baths,sqft,url,address
55,Milwaukee,"$355,000",3 beds,2 baths,"1,649 ",https://www.redfin.com/WI/Milwaukee/4400-S-50th-St-53220/home/57814285,"4400 S 50th St, Greenfield, WI 53220"
56,Milwaukee,"$364,990",4 beds,3 baths,"1,664 ",https://www.redfin.com/WI/Milwaukee/4425-S-47th-St-53220/home/90293588,"4425 S 47th St, Greenfield, WI 53220"
57,Milwaukee,"$379,900",5 beds,2 baths,"2,084 ",https://www.redfin.com/WI/Milwaukee/4001-S-43rd-St-53220/home/90262727,"4001 S 43rd St, Greenfield, WI 53220"
58,Milwaukee,"$74,400",No Data Available,No Data Available,"5,227 ",https://www.redfin.com/WI/Milwaukee/4225-W-Willow-Way-53221/home/58080504,"4225 W Willow Way, Milwaukee, WI 53221"
59,Greendale,"$274,900",3 beds,2 baths,"1,228 ",https://www.redfin.com/WI/Greendale/5590-Angle-Ln-53129/home/90289732,"5590 Angle Ln, Greendale, WI 53129"
60,Milwaukee,"$149,900",2 beds,1.5 baths,"1,335 ",https://www.redfin.com/WI/Milwaukee/8515-W-Waterford-Ave-53228/unit-7/home/58043748,"8515 W Waterford Ave #7, Greenfield, WI 53228"
61,Milwaukee,"$475,000",4 beds,2.5 baths,"2,210 ",https://www.redfin.com/WI/Milwaukee/3810-S-Cherokee-Way-53221/home/57980019,"3810 S Cherokee Way, Milwaukee, WI 53221"
62,Milwaukee,"$109,900",3 beds,1 bath,838 ,https://www.redfin.com/WI/Milwaukee/3676-S-89th-St-53228/home/57958643,"3676 S 89th St, Milwaukee, WI 53228"
63,Milwaukee,"$264,500",2 beds,2 baths,"1,320 ",https://www.redfin.com/WI/Milwaukee/5331-S-Hidden-Dr-53221/home/58049678,"5331 S Hidden Dr, Greenfield, WI 53221"
64,Greenfield,"$159,900",2 beds,1.5 baths,898 ,https://www.redfin.com/WI/Greenfield/8535-W-Waterford-Ave-53228/home/58034830,"8535 W Waterford Ave, Greenfield, WI 53228"
65,Milwaukee,"$190,000",3 beds,2 baths,"1,260 ",https://www.redfin.com/WI/Milwaukee/3462-S-Schauer-Ave-53219/home/90262368,"3462 S Schauer Ave, Greenfield, WI 53219"
